A1LBAC84TLIGAX,B00000DMAT,"ACEMAN1 HERE TO PISS YOU OFF""""",3,3,"Golden Eye 007 is still one of the best action titles ever created, along with the best licensed product ever released. The action is still superb and well-polished even since its release 10 years ago. The enemies are still smart, even with competitors like F.E.A.R. which have incredibly intelligent artificial intellignce. There are a couple of issues unfortunately; some targeting problems and odd save layouts. Other than those, this game is still one of the best shooters ever made. The missions are excellent, the enemies are cool, the weapons are cool, and virtually everything else about this game is superb and well-executed. Too bad Nintendo handed the rights of James Bond to EA.",5,A STELLAR ACTION TITLE 9.5 OUT OF 10,2007/12/12 0:00
A1G0VFQ9198IUF,B00000DMAT,al,2,2,with this game you play through each level in the movie.  this is when James Bond was James Bond.  you can choose from a whole list of players to choose from to play as.  you can get any kind of weapon just about through the whole game.  and you can even play with some friends on missions.  if you have never played a n64 what are you waiting for.  5 out of 5.  super fun.,5,ONE OF THE BEST,2012/7/30 0:00
A36UKFV79879MD,B00000DMAT,BX Lounger,5,5,"In the year 1997, Goldeneye was released for the Nintendo 64 by Rare, an unknown company and new 2nd party developer. Rare had already made several games for the NES and enters the Nintendo 64 market with this release based on the classic James Bond movie of the same title. You can ask anyone who had a Nintendo 64 if they ever played this game and why it was so popular. You're guaranteed to hear 2 reasons in particular why this game is so revered.REASON #1: This game is a prime example of how a developer took its time to make this game. It was more than 2 years since the movie it was based on came out and Rare had access to everything concerning the movie from the original orchestral music, likeness of the main characters and locations to the bonus villains of other James Bond movies such as Oddjob and Mayday. They didn't rush this out the door like some developers do when they wanted their games released alongside the films it was based on and it always guaranteed to be a huge mistake. This game was a huge success and is still played by many video gamers.REASON #2: Nintendo had no idea that the multi-player section of this game would be just as popular to play in or more popular than the single player mode. Rare admitted in an interview after the game was released that they had no intentions of putting together a multi-player mode until later in its development stages. Though it may be limited by today's standards, you had the basics: several stages based on the single player mode, all of the weapons were available, all of the main characters plus the enemy soldiers and classic Bond villains and several game modes such as free for all death match, team death match, you only live twice (2 lives) etc. and you can select the weapons in group categories along with time limits per match. This added a lot of re-playability after you finished the single player mode.If you don't have a Nintendo 64, this game is reason enough to get it. This game helped Nintendo sell so many systems and it is a title I highly recommend getting if you can find it. It's a great game to play by yourself and an absolute blast to play with 3 of your friends. Peace. :)",5,This is how all movie based video games should be made,2010/8/24 0:00
AWG2O9C42XW5G,B00000DMAT,"David Black Widow 2014""""",0,0,this ganme was very entertaining i really enjoyed it i'm not to fond of these types of games but goldeneye was awesome.,4,good game,2007/7/2 0:00
A20DZX38KRBIT8,B00000DMAT,"Deimos .""""",2,1,"Awesome controls, greta levels, killer music, loads of cool guns and awesome James Bond.  The perfect shooter!  Played this one a lot.",5,Easily best N64 game.,2010/2/24 0:00
ANAYSRE3LX8GZ,B00000DMAT,Micheal Hunt,2,2,"This is the best shoot em up on the N64. I was very impressed with the game play, the graphics, the action, the multi player fun, everything.... the only downfall about the game is I wanted more, more, more. The cheats are great when you unlock them and the best thing is you dont need a memory card, everything saves on the cartridge. RARE actualy managed to compress a game that was too big for the N64 into this game somehow, and it suprises me that it does not even use the N64 Expansion pack to do that!!! This game is not just hoursand hours of fun, but days, weeks, years . i still play this cool game even today!",5,Terrific Game!!!,2005/3/19 0:00
A1LBAC84TLIGAX,B00000DMAX,"ACEMAN1 HERE TO PISS YOU OFF""""",1,1,"This was the first real game I ever played along with the first I ever owned. Despite the fact that I've grown out of many kids games and spend my time focused on M-rated games with a lot of violence or sexual themes, this is one of those games I most definitely have not grown out of. I love the tracks, the weapons, the characters(Yoshi's my favorite), and simplely how much fun this game still delivers to this very day. The replay value is endless, and multiplayer is still very engaging(It's always fun to humiliate your friends at this game). This game is what got me started on games and it will continue to be one of my most memorable games in my life as a gamer.",5,NEVER GETS OLD 9.5 OUT OF 10,2007/11/22 0:00
A1ZPVW0WXNJ3YZ,B00000DMAX,"Alex 47""""",0,0,"This was the first 'Kart' game quite like this.. there isn't any 'Kart' game like this either outside of the Mario franchise. If you think you can find a better Karting game out there, I'd like to see you find it and show me, because from my finds and plays, this is the only game that is worth playing. From DK to Bowser, Peach to Toad, this game has most of the characters that have been involved with Mario in some way. The graphics are great for its time, the sound is fun, the worlds are colorful, the idea is great. Who wouldn't like this game- at ANY age? I'm not sure, but if you don't, you amy need to see a doctor. This is the best Kart game ever, and the best Mario Kart game ever.",5,Amazing,2005/5/30 0:00
AWG2O9C42XW5G,B00000DMAX,"David Black Widow 2014""""",0,0,"This is the best racing game i've ever played and the most funest. The game has a cool unique to a racing game. it is tons of fun, and you can play either Mario, Luigi, Peach (The Princess), Toad, Yoshi, Bowser(King Koopa) & Donkey Kong. There are three types of trophies you can recieve, either the Mushroom trophy, Flower Trophy, Star Trophy and A Special Trophy. Cool Hu. Well this game was tons of fun i recomend it to everyone. Peace OutIf you liked this game then check out all of the Mario Games.",5,"An Excellent Game,",2006/5/16 0:00
A3W4D8XOGLWUN5,B00000DMAX,"Michael Kerner Michael Kerner""""",6,5,"For Nintendo, some of their most popular games have been revised over and over again. In the case of the Nintendo 64, the case has happened to itself too. The 1997 Mario Kart 64 game is no acception. The starting flag proves that the light is worth checking out.In this game, you play any of eight characters in 16 traditional courses and 4 battle zones. Choose from Mario, Yoshi, Wario, Peach, Luigi, Toad, Donkey Kong, and Bowser. The graphics are a bit more intact than the other racing games that came later for the system. Although it might try to drown you out a little bit at a time, when you complete the four racing cups quickly. Luckily, the game truly makes up for it in the Vs. mode, where you are head-to-head n a battle with up to four players in the race.Mario Kart is absolutely worth checking out for the Nintendo 64, despite the fact the Nintendo 64 has no more new games for the system. If you buy it only for yourself, your better off bringing in a partner for the ride.",5,The Race Is On,2002/10/23 0:00
